Protein name    Apo PDB Holo PDB    Modulator ID(s) RMSD / Angstrom N
OxyR transcription factor   1I6A    1I69    BEZ 2.44    206
Ferric binding protein  1D9V    1MRP    FE  2.68    309
Aspartate receptor  1LIH    2LIG    ASP 2.77    157
HIV-1 rev. transcriptase    2HMI    3HVT    NVP 3.81    555
Maltose binding protein 1OMP    3MBP    GLC 3.88    370
Small G protein Arf6    1E0S    2J5X    GSP 4.44    164
Immunoglobulin  1MCP    4FAB    FDS 5.95    214
Myosin  1VOM    2AKA    ADP 6.23    730
Adenylate kinase    4AKE    1AKE    AP5 7.19    214
Serpin  1PSI    7API    NAG 8.96    372
GroEL   1AON    1OEL    ADP 12.6    524
Topoisomerase II    1BGW    1BJT    -   18.8    664
